Epoch,Training Accuracy,Evaluation Accuracy
1,95.61%,31.80%
2,95.52%,90.73%
3,94.76%,41.37%
4,94.36%,53.56%
5,94.34%,99.41%
6,94.91%,99.51%
7,95.47%,99.51%
8,95.34%,99.51%
9,95.72%,99.51%
10,95.85%,99.51%
11,95.78%,99.51%
12,95.65%,99.51%
13,95.71%,99.51%
14,96.01%,99.51%
15,96.01%,99.51%
16,95.76%,99.51%
17,96.00%,99.51%
18,95.93%,99.51%
19,95.93%,99.51%
20,95.73%,99.51%
21,95.83%,99.51%
22,95.85%,99.51%
23,95.82%,99.51%
24,95.88%,99.51%
25,96.10%,99.51%
26,95.93%,99.51%
27,95.91%,99.51%
28,95.95%,99.51%
29,95.74%,99.51%
30,95.77%,99.51%
31,95.71%,99.51%
32,96.02%,99.51%
33,95.99%,99.51%
34,95.99%,99.51%
35,95.96%,99.51%
36,96.26%,99.51%
37,96.26%,99.51%
38,95.98%,99.51%
39,95.84%,99.51%
40,95.90%,99.51%
41,95.84%,99.51%
42,95.88%,99.51%
43,95.76%,99.51%
44,95.88%,99.51%
45,95.91%,99.51%
46,95.78%,99.51%
47,95.98%,99.51%
48,95.96%,99.51%
49,95.88%,99.51%
50,96.05%,99.51%
